Actor1	Actor2	Year
KANE, CAROL (I)	BACON, KEVIN (I)	1991
JOLIE, ANGELINA	BACON, KEVIN (I)	1991
FOLEY, DAVE (I)	BACON, KEVIN (I)	1991
JOHANSSON, SCARLETT	BACON, KEVIN (I)	1991
AARON, CAROLINE	BACON, KEVIN (I)	1991
LING, BAI	BACON, KEVIN (I)	1994
ABELL, TIM	BACON, KEVIN (I)	1995
HAUER, RUTGER	BACON, KEVIN (I)	1991
ARQUETTE, DAVID (I)	BACON, KEVIN (I)	1991
DILLARD, RICHARD (I)	BACON, KEVIN (I)	1992
BENNETT, JEFF (I)	BACON, KEVIN (I)	1991
BALABAN, BOB (I)	BACON, KEVIN (I)	1992
AKIN, PHILIP	BACON, KEVIN (I)	1991
GALLAGHER, PETER (I)	BACON, KEVIN (I)	1991
LYNCH, JANE (I)	BACON, KEVIN (I)	1992
DILLON, MATT (I)	BACON, KEVIN (I)	1991
HAYSBERT, DENNIS	BACON, KEVIN (I)	1991
HALEY, EMILY D.	BACON, KEVIN (I)	2000
JANSSEN, FAMKE	BACON, KEVIN (I)	1992
CUDLITZ, MICHAEL	BACON, KEVIN (I)	1993
FORLANI, CLAIRE	BACON, KEVIN (I)	1994
HEIGL, KATHERINE	BACON, KEVIN (I)	1992
KING, JAIME	BACON, KEVIN (I)	2001
BORGMAN, ERIC BRUNO	BACON, KEVIN (I)	1992
ARTHUR, MICHAEL (I)	BACON, KEVIN (I)	1997
FAHEY, JEFF	BACON, KEVIN (I)	1991
HALEY, EMILY D.	BACON, KEVIN (I)	2000
MACAULAY, MARC	BACON, KEVIN (I)	1991
LOPEZ, JENNIFER (I)	BACON, KEVIN (I)	1993
LAMAS, LORENZO	BACON, KEVIN (I)	1991
