Actor1	Actor2
KANE, CAROL (I)	BACON, KEVIN (I)
JOLIE, ANGELINA	BACON, KEVIN (I)
FOLEY, DAVE (I)	BACON, KEVIN (I)
JOHANSSON, SCARLETT	BACON, KEVIN (I)
AARON, CAROLINE	BACON, KEVIN (I)
LING, BAI	BACON, KEVIN (I)
ABELL, TIM	BACON, KEVIN (I)
HAUER, RUTGER	BACON, KEVIN (I)
ARQUETTE, DAVID (I)	BACON, KEVIN (I)
DILLARD, RICHARD (I)	BACON, KEVIN (I)
BENNETT, JEFF (I)	BACON, KEVIN (I)
BALABAN, BOB (I)	BACON, KEVIN (I)
AKIN, PHILIP	BACON, KEVIN (I)
GALLAGHER, PETER (I)	BACON, KEVIN (I)
LYNCH, JANE (I)	BACON, KEVIN (I)
DILLON, MATT (I)	BACON, KEVIN (I)
HAYSBERT, DENNIS	BACON, KEVIN (I)
HALEY, EMILY D.	BACON, KEVIN (I)
JANSSEN, FAMKE	BACON, KEVIN (I)
CUDLITZ, MICHAEL	BACON, KEVIN (I)
FORLANI, CLAIRE	BACON, KEVIN (I)
HEIGL, KATHERINE	BACON, KEVIN (I)
KING, JAIME	BACON, KEVIN (I)
BORGMAN, ERIC BRUNO	BACON, KEVIN (I)
ARTHUR, MICHAEL (I)	BACON, KEVIN (I)
FAHEY, JEFF	BACON, KEVIN (I)
HALEY, EMILY D.	BACON, KEVIN (I)
MACAULAY, MARC	BACON, KEVIN (I)
LOPEZ, JENNIFER (I)	BACON, KEVIN (I)
LAMAS, LORENZO	BACON, KEVIN (I)
